age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
36,admin.,married,high.school,yes,no,telephone,may,fri,147,14,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
34,technician,married,professional.course,yes,no,cellular,jul,wed,99,5,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
35,self-employed,married,high.school,no,no,cellular,jul,mon,187,3,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
30,admin.,single,university.degree,no,yes,cellular,oct,thu,102,1,6,1,failure,-3.4,92.431,-26.9,0.733,5017.5,no
38,admin.,divorced,university.degree,yes,no,cellular,jul,tue,175,1,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
59,management,married,university.degree,no,no,cellular,aug,wed,414,1,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
45,admin.,married,university.degree,no,no,telephone,aug,fri,105,5,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
32,technician,married,professional.course,yes,no,telephone,jun,tue,67,10,6,0,failure,1.4,94.465,-41.8,4.864,5228.1,no
50,self-employed,married,university.degree,no,no,telephone,nov,mon,238,1,6,0,failure,-0.1,93.2,-42,4.191,5195.8,no
24,blue-collar,single,basic.9y,yes,no,telephone,may,tue,112,4,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
39,services,married,high.school,no,no,telephone,may,tue,919,2,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
40,technician,married,professional.course,yes,no,cellular,aug,thu,258,6,6,0,failure,1.4,93.444,-36.1,4.962,5228.1,no
50,entrepreneur,married,basic.9y,yes,no,telephone,may,thu,283,3,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
48,blue-collar,married,basic.4y,no,no,telephone,jun,thu,240,2,6,0,failure,1.4,94.465,-41.8,4.866,5228.1,no
47,services,married,high.school,yes,no,telephone,may,wed,127,1,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
38,technician,single,professional.course,yes,no,cellular,nov,fri,119,1,6,0,failure,-0.1,93.2,-42,4.021,5195.8,no
44,unemployed,married,high.school,yes,no,cellular,aug,thu,146,1,6,0,failure,-2.9,92.201,-31.4,0.873,5076.2,no
35,admin.,single,university.degree,yes,no,cellular,aug,tue,63,2,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
59,retired,married,university.degree,no,no,telephone,may,mon,188,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
33,technician,married,professional.course,yes,no,cellular,aug,tue,97,2,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
52,self-employed,married,professional.course,no,yes,telephone,jun,wed,56,1,6,0,failure,1.4,94.465,-41.8,4.962,5228.1,no
27,technician,single,university.degree,yes,no,telephone,may,mon,336,9,6,0,failure,-1.8,92.893,-46.2,1.354,5099.1,no
31,entrepreneur,married,high.school,yes,yes,cellular,nov,wed,112,2,6,0,failure,-0.1,93.2,-42,4.12,5195.8,no
39,services,married,high.school,yes,no,cellular,jul,thu,68,2,6,0,failure,1.4,93.918,-42.7,4.968,5228.1,no
53,entrepreneur,divorced,university.degree,yes,no,cellular,jul,wed,97,5,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
43,blue-collar,married,basic.6y,yes,no,cellular,apr,fri,160,2,6,0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
34,blue-collar,married,basic.6y,yes,no,cellular,jul,mon,320,1,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
57,admin.,married,high.school,no,no,cellular,aug,tue,135,15,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
33,services,married,professional.course,no,no,cellular,oct,mon,291,1,6,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no
31,technician,single,professional.course,no,no,cellular,aug,wed,81,2,6,0,failure,1.4,93.444,-36.1,4.967,5228.1,no
39,retired,single,high.school,yes,no,telephone,may,wed,448,1,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
31,technician,married,professional.course,yes,no,cellular,aug,fri,270,3,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
46,management,married,university.degree,yes,no,cellular,nov,thu,466,1,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
25,self-employed,single,university.degree,yes,no,cellular,apr,mon,66,3,6,0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
31,blue-collar,married,basic.9y,no,no,telephone,may,thu,173,1,6,0,failure,1.1,93.994,-36.4,4.86,5191,no
42,admin.,divorced,high.school,yes,no,telephone,may,fri,99,3,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
38,blue-collar,single,basic.9y,yes,no,telephone,may,wed,65,5,6,0,failure,-1.8,92.893,-46.2,1.281,5099.1,no
38,technician,single,professional.course,yes,no,telephone,may,fri,166,3,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
33,admin.,married,high.school,no,no,telephone,may,fri,159,3,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
37,technician,single,professional.course,yes,no,cellular,aug,thu,17,8,6,0,failure,1.4,93.444,-36.1,4.962,5228.1,no
24,student,single,high.school,yes,yes,cellular,aug,fri,298,1,6,0,failure,-2.9,92.201,-31.4,0.849,5076.2,no
36,management,married,university.degree,no,no,cellular,may,thu,164,2,6,0,failure,-1.8,92.893,-46.2,1.266,5099.1,no
39,blue-collar,single,basic.9y,no,no,cellular,may,mon,264,3,6,0,failure,-1.8,92.893,-46.2,1.354,5099.1,no
44,admin.,married,university.degree,no,no,cellular,aug,tue,102,1,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
34,services,married,basic.9y,yes,yes,cellular,jul,wed,86,3,6,1,failure,-1.7,94.215,-40.3,0.84,4991.6,no
33,blue-collar,married,basic.4y,no,no,cellular,jul,mon,219,1,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
43,management,married,basic.6y,no,no,telephone,may,mon,189,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
58,admin.,married,high.school,yes,no,cellular,aug,thu,107,1,6,0,failure,1.4,93.444,-36.1,4.968,5228.1,no
36,admin.,married,high.school,yes,yes,cellular,aug,thu,163,5,6,0,failure,1.4,93.444,-36.1,4.968,5228.1,no
